"","ensembl_transcript_id","rna_0h_rep1","rna_0h_rep2","rna_0h_rep3","rna_4h_rep1","rna_4h_rep2","rna_4h_rep3","rna_8h_rep1","rna_8h_rep2","rna_8h_rep3","rna_14h_rep1","rna_14h_rep2","rna_14h_rep3"
"1","ENST00000327044.6_51_2298",243,322,303,283,229,251,267,257,231,177,177,239
"2","ENST00000338591.7_360_2034",19,17,15,10,12,19,13,18,12,9,5,8
"3","ENST00000379389.4_176_647",45,53,48,37,39,46,38,36,22,11,5,14
"4","ENST00000379370.6_1158_6186",42,50,52,43,47,47,44,44,50,32,31,30
"5","ENST00000379339.5_212_1352",17,19,25,17,13,21,12,15,10,3,0,2
"6","ENST00000263741.11_1328_1496",27.5,33.67,36.33,31.33,40.17,23,33,36.17,29.17,22.5,29.17,27.33
"7","ENST00000360001.10_285_1350",158,169.67,171.33,156.83,185.67,156.5,181,172.17,179.17,121,124.17,155.33
"8","ENST00000263741.11_315_1338",148.5,161.67,158.33,144.83,173.17,155.5,168,156.67,170.67,116.5,113.67,146.33
"9","ENST00000379198.3_138_1002",11,21,23,13,17,13,17,17,11,6,2,3
"10","ENST00000347370.6_475_1096",27.33,23.83,28.5,20.75,14.08,18.83,14.67,13.5,13.67,7.33,7.58,8
"11","ENST00000349431.10_221_998",28.67,26.67,32.83,24.08,15.75,21.5,17,16.83,16,8.83,9.58,9.33
"12","ENST00000400930.8_169_994",29.67,27.67,32.83,24.08,15.75,21.5,17,16.83,16,9.83,9.58,9.33
"13","ENST00000347370.6_190_322",1.33,2.83,4.83,3.08,2.42,3.17,1.33,3.83,2.33,1,2.25,1.33
"14","ENST00000354700.9_330_2706",61,84,82,65,73,57,25,30,24,11,8,9
"15","ENST00000379031.9_78_987",42,55,46,35,33,34,14,20,20,10,4,7
"16","ENST00000419704.5_46_1543",21.15,34.35,31,23.7,27.35,24.65,21.05,23.15,20.7,9.95,10.5,11.75
"17","ENST00000435064.5_84_1884",32.82,51.02,45.67,34.03,39.68,31.32,32.38,40.15,31.03,14.95,16.83,20.08
"18","ENST00000540437.5_535_2353",32.82,51.02,45.67,34.03,39.68,31.32,32.38,40.15,33.03,14.95,16.83,20.08
"19","ENST00000545578.5_274_1987",32.82,51.02,45.67,34.03,39.68,31.07,32.38,40.15,31.03,14.95,16.83,20.08
"20","ENST00000620829.4_80_1586",20.4,30.6,29,22.2,25.6,23.65,19.8,21.4,18.2,10.2,10,11
"21","ENST00000343938.8_412_1054",23,41,48,13,18,16,29,23,22,8,3,9
"22","ENST00000378888.9_1183_2371",81.5,74.5,74,60.5,57,59.5,20.5,21,12,6.5,3.5,5.5
"23","ENST00000378891.9_945_2058",80.5,74.5,74,60.5,57,59.5,20.5,21,12,6.5,3.5,5.5
"24","ENST00000445648.5_40_1390",108.75,138.33,114.92,121.42,91.67,97.33,88.75,92,84,18.92,19.42,22
"25","ENST00000309212.10_32_1358",87.08,117.33,88.58,96.75,74.67,75,72.75,76,67.67,16.92,12.42,18
"26","ENST00000342753.8_291_1314",78.08,101,78.25,82.08,66,64.67,61.75,67.33,57.67,14.25,9.75,15
"27","ENST00000477278.3_515_1814",87.08,117.33,88.25,96.75,74.67,75,72.75,75.67,67.67,16.92,12.42,18
"28","ENST00000338370.7_402_999",273,332,344,295,271,296,301,295,261,112,99,160
"29","ENST00000400809.7_379_1567",60.5,52,63,72,47,50,79.5,88,80,91.5,86,106.5
"30","ENST00000408918.8_384_690",10.5,13,10,16,7,7,29.5,19,21,13.5,14,27.5
"31","ENST00000344843.11_97_544",200,189,183,204,183,161,172,218,171,106,97,134
"32","ENST00000476993.1_184_1414",12.5,16,22,18,14,17.5,14.5,15.5,17,11,5,6.5
"33","ENST00000338660.5_468_1167",5.5,4,9,7,8,8.5,6.5,4.5,4,4,3,3.5
"34","ENST00000291386.3_370_895",148,181,152,138,166,146,84,97,97,91,109,124
"35","ENST00000505820.6_189_3228",11.3,17.17,13.52,11.1,12.32,11.3,9.9,8.42,10.27,8.1,6.1,7.9
"36","ENST00000518681.5_195_3039",10.63,15.17,12.52,9.77,11.65,9.97,9.23,7.75,9.27,8.1,5.77,6.9
"37","ENST00000520777.5_217_3244",11.3,17.17,13.52,11.1,12.32,11.3,9.9,8.42,10.27,8.1,6.1,7.9
"38","ENST00000378712.5_326_2585",7.05,11.5,9.1,7.6,9.65,9.05,7.4,5.25,6.35,6.6,3.85,4.4
"39","ENST00000355826.9_379_3208",10.72,16,12.35,10.43,12.07,10.38,9.57,8.17,8.85,8.1,5.18,6.9
"40","ENST00000341426.9_250_1561",55.5,72.67,58,49.5,46.67,51.83,29.33,33,30.5,17.67,11.17,19.17
"41","ENST00000342348.9_348_1287",38,45.67,39,33,32.67,31.33,20.33,23,22,10.67,8.67,13.67
"42","ENST00000378625.5_233_1979",55.5,72.67,59,50.5,46.67,51.83,29.33,33,30.5,17.67,11.17,20.17
"43","ENST00000610897.4_345_1365",326,302.5,336.5,311.5,501.5,299,272.5,236.5,260.5,180.5,195.5,210.5
"44","ENST00000615252.4_548_1268",171,175.5,187.5,160.5,281.5,160,153.5,143.5,130.5,95.5,96.5,108.5
"45","ENST00000378609.8_248_278",5,3,3,3,5,2,1,3,1,0,0,5
"46","ENST00000400918.7_3_513",11,24.5,13,15.5,14.5,15,9.5,13.5,7,2.5,4,1.5
"47","ENST00000378546.8_26_566",10,29.5,25,22.5,18.5,20,12.5,18.5,13,3.5,4,3.5
"48","ENST00000378536.4_157_2257",129,169,153,125,105,94,51,41,34,53,46,70
