"","X1","time","replicate","ensembl_gene_id","hgnc_symbol","type","count","target_status"
"1",5345,"0h","rep1","ENSG00000142676","RPL11","rna",3615,"non-target"
"2",16079,"0h","rep2","ENSG00000142676","RPL11","rna",4088,"non-target"
"3",26813,"0h","rep3","ENSG00000142676","RPL11","rna",3728,"non-target"
"4",37547,"14h","rep1","ENSG00000142676","RPL11","rna",4235,"non-target"
"5",48281,"14h","rep2","ENSG00000142676","RPL11","rna",3631,"non-target"
"6",59015,"14h","rep3","ENSG00000142676","RPL11","rna",4159,"non-target"
"7",69749,"4h","rep1","ENSG00000142676","RPL11","rna",3867,"non-target"
"8",80483,"4h","rep2","ENSG00000142676","RPL11","rna",3813,"non-target"
"9",91217,"4h","rep3","ENSG00000142676","RPL11","rna",3814,"non-target"
"10",101951,"8h","rep1","ENSG00000142676","RPL11","rna",4706,"non-target"
"11",112685,"8h","rep2","ENSG00000142676","RPL11","rna",5051,"non-target"
"12",123419,"8h","rep3","ENSG00000142676","RPL11","rna",4492,"non-target"
"13",10503,"0h","rep1","ENSG00000265681","RPL17","rna",56,"non-target"
"14",21237,"0h","rep2","ENSG00000265681","RPL17","rna",71,"non-target"
"15",31971,"0h","rep3","ENSG00000265681","RPL17","rna",64,"non-target"
"16",42705,"14h","rep1","ENSG00000265681","RPL17","rna",100,"non-target"
"17",53439,"14h","rep2","ENSG00000265681","RPL17","rna",64.5,"non-target"
"18",64173,"14h","rep3","ENSG00000265681","RPL17","rna",93,"non-target"
"19",74907,"4h","rep1","ENSG00000265681","RPL17","rna",56,"non-target"
"20",85641,"4h","rep2","ENSG00000265681","RPL17","rna",64.5,"non-target"
"21",96375,"4h","rep3","ENSG00000265681","RPL17","rna",55.5,"non-target"
"22",107109,"8h","rep1","ENSG00000265681","RPL17","rna",64.5,"non-target"
"23",117843,"8h","rep2","ENSG00000265681","RPL17","rna",98,"non-target"
"24",128577,"8h","rep3","ENSG00000265681","RPL17","rna",72,"non-target"
"25",567,"0h","rep1","ENSG00000063177","RPL18","rna",2639,"non-target"
"26",11301,"0h","rep2","ENSG00000063177","RPL18","rna",2970,"non-target"
"27",22035,"0h","rep3","ENSG00000063177","RPL18","rna",2753,"non-target"
"28",32769,"14h","rep1","ENSG00000063177","RPL18","rna",2107,"non-target"
"29",43503,"14h","rep2","ENSG00000063177","RPL18","rna",1950,"non-target"
"30",54237,"14h","rep3","ENSG00000063177","RPL18","rna",2569,"non-target"
"31",64971,"4h","rep1","ENSG00000063177","RPL18","rna",2764,"non-target"
"32",75705,"4h","rep2","ENSG00000063177","RPL18","rna",2833,"non-target"
"33",86439,"4h","rep3","ENSG00000063177","RPL18","rna",2667,"non-target"
"34",97173,"8h","rep1","ENSG00000063177","RPL18","rna",3259,"non-target"
"35",107907,"8h","rep2","ENSG00000063177","RPL18","rna",3532,"non-target"
"36",118641,"8h","rep3","ENSG00000063177","RPL18","rna",3173,"non-target"
"37",6896,"0h","rep1","ENSG00000163584","RPL22L1","rna",287,"non-target"
"38",17630,"0h","rep2","ENSG00000163584","RPL22L1","rna",293,"non-target"
"39",28364,"0h","rep3","ENSG00000163584","RPL22L1","rna",282,"non-target"
"40",39098,"14h","rep1","ENSG00000163584","RPL22L1","rna",156,"non-target"
"41",49832,"14h","rep2","ENSG00000163584","RPL22L1","rna",127,"non-target"
"42",60566,"14h","rep3","ENSG00000163584","RPL22L1","rna",155,"non-target"
"43",71300,"4h","rep1","ENSG00000163584","RPL22L1","rna",287,"non-target"
"44",82034,"4h","rep2","ENSG00000163584","RPL22L1","rna",278,"non-target"
"45",92768,"4h","rep3","ENSG00000163584","RPL22L1","rna",268,"non-target"
"46",103502,"8h","rep1","ENSG00000163584","RPL22L1","rna",280,"non-target"
"47",114236,"8h","rep2","ENSG00000163584","RPL22L1","rna",307,"non-target"
"48",124970,"8h","rep3","ENSG00000163584","RPL22L1","rna",262,"non-target"
"49",3749,"0h","rep1","ENSG00000125691","RPL23","rna",3609,"non-target"
"50",14483,"0h","rep2","ENSG00000125691","RPL23","rna",3925,"non-target"
"51",25217,"0h","rep3","ENSG00000125691","RPL23","rna",3602,"non-target"
"52",35951,"14h","rep1","ENSG00000125691","RPL23","rna",3246,"non-target"
"53",46685,"14h","rep2","ENSG00000125691","RPL23","rna",2744,"non-target"
"54",57419,"14h","rep3","ENSG00000125691","RPL23","rna",2969,"non-target"
"55",68153,"4h","rep1","ENSG00000125691","RPL23","rna",3562,"non-target"
"56",78887,"4h","rep2","ENSG00000125691","RPL23","rna",3416,"non-target"
"57",89621,"4h","rep3","ENSG00000125691","RPL23","rna",3205,"non-target"
"58",100355,"8h","rep1","ENSG00000125691","RPL23","rna",3832,"non-target"
"59",111089,"8h","rep2","ENSG00000125691","RPL23","rna",4341,"non-target"
"60",121823,"8h","rep3","ENSG00000125691","RPL23","rna",3712,"non-target"
"61",10157,"0h","rep1","ENSG00000240356","RPL23AP7","rna",8,"non-target"
"62",20891,"0h","rep2","ENSG00000240356","RPL23AP7","rna",15,"non-target"
"63",31625,"0h","rep3","ENSG00000240356","RPL23AP7","rna",9,"non-target"
"64",42359,"14h","rep1","ENSG00000240356","RPL23AP7","rna",1,"non-target"
"65",53093,"14h","rep2","ENSG00000240356","RPL23AP7","rna",2,"non-target"
"66",63827,"14h","rep3","ENSG00000240356","RPL23AP7","rna",2,"non-target"
"67",74561,"4h","rep1","ENSG00000240356","RPL23AP7","rna",3,"non-target"
"68",85295,"4h","rep2","ENSG00000240356","RPL23AP7","rna",9,"non-target"
"69",96029,"4h","rep3","ENSG00000240356","RPL23AP7","rna",8,"non-target"
"70",106763,"8h","rep1","ENSG00000240356","RPL23AP7","rna",2,"non-target"
"71",117497,"8h","rep2","ENSG00000240356","RPL23AP7","rna",7,"non-target"
"72",128231,"8h","rep3","ENSG00000240356","RPL23AP7","rna",8,"non-target"
"73",4203,"0h","rep1","ENSG00000131469","RPL27","rna",1746,"non-target"
"74",14937,"0h","rep2","ENSG00000131469","RPL27","rna",2189,"non-target"
"75",25671,"0h","rep3","ENSG00000131469","RPL27","rna",2031,"non-target"
"76",36405,"14h","rep1","ENSG00000131469","RPL27","rna",1906,"non-target"
"77",47139,"14h","rep2","ENSG00000131469","RPL27","rna",1585,"non-target"
"78",57873,"14h","rep3","ENSG00000131469","RPL27","rna",2058,"non-target"
"79",68607,"4h","rep1","ENSG00000131469","RPL27","rna",1905,"non-target"
"80",79341,"4h","rep2","ENSG00000131469","RPL27","rna",1645,"non-target"
"81",90075,"4h","rep3","ENSG00000131469","RPL27","rna",1703,"non-target"
"82",100809,"8h","rep1","ENSG00000131469","RPL27","rna",2158,"non-target"
"83",111543,"8h","rep2","ENSG00000131469","RPL27","rna",2529,"non-target"
"84",122277,"8h","rep3","ENSG00000131469","RPL27","rna",2237,"non-target"
"85",2328,"0h","rep1","ENSG00000108107","RPL28","rna",1203.99,"non-target"
"86",13062,"0h","rep2","ENSG00000108107","RPL28","rna",1698.98,"non-target"
"87",23796,"0h","rep3","ENSG00000108107","RPL28","rna",1479,"non-target"
"88",34530,"14h","rep1","ENSG00000108107","RPL28","rna",980.99,"non-target"
"89",45264,"14h","rep2","ENSG00000108107","RPL28","rna",859.99,"non-target"
"90",55998,"14h","rep3","ENSG00000108107","RPL28","rna",1323.98,"non-target"
